eps_lasso,n_alphas_lasso,degree,mse,r2
0.0001,250,10,0.11925816445297664,0.8807418355470233
0.01,450,10,0.12121773150704475,0.8787822684929553
0.01,350,10,0.12124346564110959,0.8787565343588905
0.0001,150,10,0.12124489418915732,0.8787551058108427
0.0001,450,10,0.12125570811644956,0.8787442918835504
0.01,250,10,0.12126180970716484,0.8787381902928352
0.01,150,10,0.1212633910916081,0.8787366089083919
0.0001,350,10,0.12127076549544209,0.8787292345045579
1.0,350,10,0.2074055860764974,0.7925944139235026
1.0,150,10,0.2074055860764974,0.7925944139235026
1.0,450,10,0.2074055860764974,0.7925944139235026
1.0,250,10,0.2074055860764974,0.7925944139235026
0.0001,250,5,0.3181319581511648,0.6818680418488352
0.01,450,5,0.31815280282604846,0.6818471971739515
0.01,350,5,0.3181530094232084,0.6818469905767917
0.0001,150,5,0.3181604031757928,0.6818395968242073
0.0001,450,5,0.31816490027964917,0.6818350997203508
0.01,250,5,0.3181746212450134,0.6818253787549866
0.0001,350,5,0.3181808761439348,0.6818191238560651
0.01,150,5,0.31819520826439723,0.6818047917356027
1.0,450,5,0.3734358277174461,0.6265641722825539
1.0,250,5,0.3734358277174461,0.6265641722825539
1.0,350,5,0.3734358277174461,0.6265641722825539
1.0,150,5,0.3734358277174461,0.6265641722825539
