eps_lasso,n_alphas_lasso,penalty_逻辑回归,C_逻辑回归,degree,mse,r2
0.01,350,l2,0.1,10,0.1271246070585042,0.8728753929414959
0.0001,450,l2,0.1,10,0.127148651730668,0.872851348269332
0.01,350,l1,1.0,10,0.12779918041192026,0.8722008195880797
0.0001,450,l1,1.0,10,0.12781560655698015,0.8721843934430198
0.01,350,l2,1.0,10,0.12814895966028575,0.8718510403397143
0.0001,450,l2,1.0,10,0.12816748148931065,0.8718325185106893
0.01,350,l1,10.0,10,0.1281699207129026,0.8718300792870974
0.0001,450,l1,10.0,10,0.12818581605024185,0.8718141839497582
0.01,350,l2,10.0,10,0.128201534873537,0.871798465126463
0.0001,450,l2,10.0,10,0.12821643868237126,0.8717835613176288
0.01,350,l1,0.1,10,0.12972263905395434,0.8702773609460457
0.0001,450,l1,0.1,10,0.12974700325416177,0.8702529967458382
1.0,250,l1,10.0,10,0.17332155601787672,0.8266784439821233
1.0,250,l2,10.0,10,0.17361666873365744,0.8263833312663426
1.0,250,l1,1.0,10,0.17734518945892516,0.8226548105410748
1.0,250,l2,1.0,10,0.17745696542435976,0.8225430345756403
1.0,250,l2,0.1,10,0.18556459989129837,0.8144354001087016
1.0,250,l1,0.1,10,0.21126948077046329,0.7887305192295367
0.01,350,l2,0.1,5,0.32319621161497375,0.6768037883850262
0.0001,450,l2,0.1,5,0.3232122684475329,0.6767877315524671
0.01,350,l1,1.0,5,0.32393493574120424,0.6760650642587958
0.0001,450,l1,1.0,5,0.3239505222579137,0.6760494777420862
0.01,350,l1,0.1,5,0.32448959837601454,0.6755104016239855
0.01,350,l2,1.0,5,0.32450016732516135,0.6754998326748387
0.0001,450,l1,0.1,5,0.3245083675490267,0.6754916324509733
0.0001,450,l2,1.0,5,0.32451531913629994,0.6754846808637001
0.01,350,l1,10.0,5,0.3246230115456852,0.6753769884543148
0.0001,450,l1,10.0,5,0.32464198036303626,0.6753580196369637
0.01,350,l2,10.0,5,0.3246768067960102,0.6753231932039898
0.0001,450,l2,10.0,5,0.3246918462866976,0.6753081537133023
1.0,250,l1,1.0,5,0.340716146226315,0.6592838537736849
1.0,250,l2,1.0,5,0.3413074828312565,0.6586925171687434
1.0,250,l1,10.0,5,0.34260218734630676,0.6573978126536932
1.0,250,l2,10.0,5,0.34277291605063753,0.6572270839493625
1.0,250,l2,0.1,5,0.35675665150734825,0.6432433484926517
1.0,250,l1,0.1,5,0.372750070950882,0.627249929049118
